verticalname,treatment_users,control_users,treatment_converted_users,control_converted_users,treatment_cr,control_cr,absolute_lift,relative_uplift,z_statistic,p_value
Finance,257,49,2,1,0.007782101167315175,0.02040816326530612,-0.012626062097990946,-0.6186770428015563,-0.8220747219882567,0.4110343711312226
Food and Beverage,136781,20587,1557,264,0.011383159941804782,0.01282362656045077,-0.0014404666186459882,-0.11232911468963999,-1.8017106181681344,0.07159094662564222
Loyalty and Samples,110,20,2,0,0.01818181818181818,0.0,0.01818181818181818,,0.6077155435054971,0.5433761521923219
Media and Entertainment,285092,63895,5321,1090,0.018664150519832196,0.01705923781203537,0.0016049127077968246,0.09407880501346616,2.730490297528747,0.006324019459440308
Retail,101903,18795,4378,595,0.042962425051274254,0.03165735567970205,0.011305069371572204,0.3571071913255455,7.164981841588933,7.779686537068383e-13
Sports and Fitness,1,0,1,0,1.0,,,,,
Ticketing,49045,15694,1340,350,0.02732184728310735,0.02230151650312221,0.005020330779985139,0.22511163217453364,3.4331838916724213,0.0005965373556458973
Travel,8761,3004,234,79,0.02670927976258418,0.0262982689747004,0.0004110107878837789,0.015628815275985718,0.12079894814318992,0.9038502832646775
