group,rows,users,converted_users,conversion_rate,sessions,converted_sessions,session_conversion_rate,bidprice_sum_usd,vpt_usd,conversion_value_sum_usd,conversion_value_per_user_usd
treatment,724839,576471,12833,0.02226131062967608,647057,12836,0.019837510451165816,49369.21176,0.07629808774188364,2124233.0283999997,3.684891396791859
control,127358,121750,2379,0.019540041067761808,126605,2379,0.018790727064491922,0.0,0.0,215564.9893,1.770554326899384
