gender,treatment_users,control_users,treatment_converted_users,control_converted_users,treatment_cr,control_cr,absolute_lift,relative_uplift,z_statistic,p_value
f,396356,93899,10446,2043,0.026355094914672667,0.021757420206817965,0.0045976747078547014,0.21131525080413538,8.039906645705143,8.990694070171062e-16
m,115296,17637,1584,201,0.013738551207327226,0.011396496002721551,0.0023420552046056753,0.20550660519219052,2.5167093466647517,0.01184565042373843
unknown,65793,10270,803,135,0.012204945814904321,0.01314508276533593,-0.0009401369504316096,-0.07152004800690837,-0.8028959224264071,0.42203489304675923
